1.000000000000000000e+00 4.586074740558665494e-39 4.193437057070204311e-39 4.377317509308234293e-39 4.084488648819646018e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.028044732093309266e+00 4.724859762470276797e-39 4.320365415901031413e-39 4.514879579221371225e-39 4.210754970496554389e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.056875971184804142e+00 4.867196577085313875e-39 4.450358133841232240e-39 4.655947506572133925e-39 4.340065208574871866e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.086515774652538235e+00 5.013190572753897305e-39 4.583505409228568283e-39 4.800638710853977054e-39 4.472500652209270062e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.116986818467823106e+00 5.163013730875291771e-39 4.719896880128011909e-39 4.949060817359281436e-39 4.608156276212334571e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.148312414543511073e+00 5.316747918836716624e-39 4.859642959954279087e-39 5.101346475463015001e-39 4.747138364460050423e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.180516528568805068e+00 5.474503328536765962e-39 5.002833043380642144e-39 5.257612172732235291e-39 4.889537031523963431e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.213623798344240834e+00 5.636391087886007000e-39 5.149578495312693932e-39 5.417995193314683531e-39 5.035469272081574385e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.247659552630869584e+00 5.802578254147080350e-39 5.299980129037300987e-39 5.582665889575479486e-39 5.185042581367900359e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.282649830528060475e+00 5.973195835204518949e-39 5.454147494138263171e-39 5.751708442355957358e-39 5.338364138705619313e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.318621401394748593e+00 6.148350655669941897e-39 5.612237737303915333e-39 5.925242264513994436e-39 5.495537689577203040e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.355601785329368481e+00 6.328245318856914184e-39 5.774342460248633545e-39 6.103445327156504934e-39 5.656687530534216297e-39 0.000000000000000000e+00 0.000000000000000000e+00
1.393619274224142446e+00 6.512951364790253144e-39 5.940631024588164077e-39 6.286397272995342383e-39 5.821931390788162081e-39 0.000000000000000000e+00 0.000000000000000000e+00
