# Distribution of neutrino fluxes in the AGSS09 standard solar model model.
# 
# arxiv:0909.2668
#
# The cumulative neutrino fluxes from Table 3 of AGSS09 are given in the row below.
# 
# 6.03E+00 1.44E-02 8.18E-07 4.64E-01 4.85E-04 2.07E-02 1.47E-02 3.48E-04 
#
# 
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone

0.0135 15.432 2.007  2.77802842e-05  3.729172e-01  5.790463e-01  1.599441e-01  1.761557e+00  4.216361e+00  2.499065e+00  3.538726e+00  3.893900e+00  
0.0140 15.428 2.006  2.98867712e-05  4.006548e-01  6.217131e-01  1.720924e-01  1.887225e+00  4.503144e+00  2.669906e+00  3.780642e+00  4.158958e+00  
0.0145 15.423 2.006  3.20515540e-05  4.293416e-01  6.657813e-01  1.846933e-01  2.016419e+00  4.795954e+00  2.844482e+00  4.027844e+00  4.429634e+00  
0.0150 15.418 2.006  3.43224488e-05  4.589713e-01  7.112350e-01  1.977478e-01  2.149034e+00  5.094370e+00  3.022553e+00  4.279996e+00  4.705542e+00  
0.0155 15.413 2.005  3.66402741e-05  4.895371e-01  7.580577e-01  2.112567e-01  2.284960e+00  5.397962e+00  3.203879e+00  4.536758e+00  4.986292e+00  
0.0160 15.408 2.005  3.90298912e-05  5.210321e-01  8.062327e-01  2.252210e-01  2.424087e+00  5.706298e+00  3.388219e+00  4.797787e+00  5.271491e+00  
0.0165 15.403 2.005  4.15268772e-05  5.534489e-01  8.557422e-01  2.396414e-01  2.566301e+00  6.018936e+00  3.575324e+00  5.062732e+00  5.560740e+00  
0.0170 15.398 2.004  4.40243569e-05  5.867803e-01  9.065687e-01  2.545190e-01  2.711484e+00  6.335432e+00  3.764946e+00  5.331241e+00  5.853634e+00  
0.0175 15.392 2.004  4.66902520e-05  6.210185e-01  9.586932e-01  2.698543e-01  2.859520e+00  6.655342e+00  3.956838e+00  5.602964e+00  6.149774e+00  
0.0180 15.387 2.003  4.93102707e-05  6.561553e-01  1.012097e+00  2.856484e-01  3.010288e+00  6.978214e+00  4.150747e+00  5.877543e+00  6.448750e+00  
0.0185 15.381 2.003  5.20880790e-05  6.921830e-01  1.066761e+00  3.019019e-01  3.163665e+00  7.303596e+00  4.346419e+00  6.154620e+00  6.750153e+00  
0.0190 15.375 2.003  5.48976165e-05  7.290927e-01  1.122664e+00  3.186156e-01  3.319528e+00  7.631039e+00  4.543610e+00  6.433845e+00  7.053586e+00  
0.0195 15.369 2.002  5.78044088e-05  7.668760e-01  1.179788e+00  3.357901e-01  3.477750e+00  7.960089e+00  4.742064e+00  6.714861e+00  7.358639e+00  
0.0200 15.362 2.002  6.07587764e-05  8.055238e-01  1.238110e+00  3.534259e-01  3.638202e+00  8.290286e+00  4.941519e+00  6.997294e+00  7.664885e+00  
0.0205 15.356 2.001  6.38096855e-05  8.450271e-01  1.297609e+00  3.715239e-01  3.800756e+00  8.621188e+00  5.141736e+00  7.280806e+00  7.971939e+00  
0.0210 15.349 2.001  6.68318976e-05  8.853760e-01  1.358264e+00  3.900844e-01  3.965281e+00  8.952337e+00  5.342454e+00  7.565028e+00  8.279382e+00  
0.0215 15.342 2.000  6.99908437e-05  9.265614e-01  1.420052e+00  4.091079e-01  4.131643e+00  9.283285e+00  5.543423e+00  7.849603e+00  8.586805e+00  
0.0220 15.336 2.000  7.32814522e-05  9.685728e-01  1.482950e+00  4.285947e-01  4.299711e+00  9.613595e+00  5.744408e+00  8.134203e+00  8.893839e+00  
0.0225 15.328 1.999  7.65315680e-05  1.011400e+00  1.546936e+00  4.485454e-01  4.469352e+00  9.942826e+00  5.945161e+00  8.418475e+00  9.200081e+00  
0.0230 15.321 1.999  7.98216780e-05  1.055033e+00  1.611986e+00  4.689598e-01  4.640428e+00  1.027054e+01  6.145436e+00  8.702070e+00  9.505135e+00  
0.0235 15.314 1.998  8.33481488e-05  1.099461e+00  1.678076e+00  4.898385e-01  4.812805e+00  1.059631e+01  6.344992e+00  8.984645e+00  9.808612e+00  
0.0240 15.306 1.998  8.67249691e-05  1.144673e+00  1.745181e+00  5.111813e-01  4.986343e+00  1.091970e+01  6.543586e+00  9.265860e+00  1.011013e+01  
0.0245 15.299 1.997  9.03125426e-05  1.190657e+00  1.813277e+00  5.329883e-01  5.160909e+00  1.124031e+01  6.741006e+00  9.545411e+00  1.040934e+01  
0.0250 15.291 1.997  9.39362257e-05  1.237403e+00  1.882339e+00  5.552595e-01  5.336365e+00  1.155772e+01  6.937005e+00  9.822951e+00  1.070585e+01  
0.0255 15.283 1.996  9.75193724e-05  1.284898e+00  1.952340e+00  5.779945e-01  5.512571e+00  1.187154e+01  7.131368e+00  1.009817e+01  1.099932e+01  
0.0260 15.275 1.996  1.01161045e-04  1.333131e+00  2.023256e+00  6.011931e-01  5.689394e+00  1.218137e+01  7.323887e+00  1.037079e+01  1.128942e+01  
0.0265 15.267 1.995  1.05065610e-04  1.382089e+00  2.095059e+00  6.248548e-01  5.866693e+00  1.248682e+01  7.514332e+00  1.064046e+01  1.157578e+01  
0.0270 15.258 1.994  1.08908217e-04  1.431760e+00  2.167724e+00  6.489792e-01  6.044333e+00  1.278754e+01  7.702507e+00  1.090692e+01  1.185809e+01  
0.0275 15.250 1.994  1.12718863e-04  1.482131e+00  2.241223e+00  6.735656e-01  6.222173e+00  1.308314e+01  7.888191e+00  1.116986e+01  1.213600e+01  
0.0280 15.241 1.993  1.16857057e-04  1.533190e+00  2.315530e+00  6.986135e-01  6.400080e+00  1.337328e+01  8.071181e+00  1.142898e+01  1.240919e+01  
0.0285 15.233 1.993  1.20642373e-04  1.584922e+00  2.390615e+00  7.241217e-01  6.577914e+00  1.365762e+01  8.251300e+00  1.168403e+01  1.267738e+01  
0.0290 15.224 1.992  1.24973802e-04  1.637316e+00  2.466452e+00  7.500895e-01  6.755547e+00  1.393584e+01  8.428359e+00  1.193476e+01  1.294028e+01  
0.0295 15.215 1.991  1.28706835e-04  1.690356e+00  2.543013e+00  7.765157e-01  6.932834e+00  1.420759e+01  8.602162e+00  1.218087e+01  1.319757e+01  
0.0300 15.205 1.991  1.33110814e-04  1.744030e+00  2.620268e+00  8.033991e-01  7.109652e+00  1.447260e+01  8.772569e+00  1.242217e+01  1.344905e+01  
0.0305 15.196 1.990  1.37365276e-04  1.798324e+00  2.698190e+00  8.307384e-01  7.285861e+00  1.473056e+01  8.939352e+00  1.265834e+01  1.369433e+01  
0.0310 15.187 1.989  1.41632301e-04  1.853222e+00  2.776749e+00  8.585318e-01  7.461334e+00  1.498120e+01  9.102411e+00  1.288924e+01  1.393330e+01  
0.0315 15.177 1.989  1.45938889e-04  1.908711e+00  2.855917e+00  8.867779e-01  7.635947e+00  1.522428e+01  9.261607e+00  1.311467e+01  1.416574e+01  
0.0320 15.167 1.988  1.50129843e-04  1.964775e+00  2.935663e+00  9.154746e-01  7.809561e+00  1.545951e+01  9.416746e+00  1.333435e+01  1.439133e+01  
0.0325 15.157 1.987  1.54660771e-04  2.021400e+00  3.015957e+00  9.446201e-01  7.982054e+00  1.568666e+01  9.567699e+00  1.354811e+01  1.460988e+01  
0.0330 15.147 1.987  1.59397657e-04  2.078571e+00  3.096772e+00  9.742125e-01  8.153313e+00  1.590556e+01  9.714385e+00  1.375582e+01  1.482128e+01  
0.0335 15.137 1.986  1.63910511e-04  2.136273e+00  3.178077e+00  1.004250e+00  8.323191e+00  1.611592e+01  9.856576e+00  1.395718e+01  1.502517e+01  
0.0340 15.127 1.985  1.68205059e-04  2.194489e+00  3.259840e+00  1.034729e+00  8.491593e+00  1.631763e+01  9.994270e+00  1.415216e+01  1.522157e+01  
0.0345 15.117 1.984  1.72809251e-04  2.253203e+00  3.342032e+00  1.065647e+00  8.658384e+00  1.651046e+01  1.012730e+01  1.434054e+01  1.541023e+01  
0.0350 15.106 1.984  1.78035130e-04  2.312402e+00  3.424623e+00  1.097003e+00  8.823446e+00  1.669425e+01  1.025552e+01  1.452210e+01  1.559090e+01  
0.0355 15.095 1.983  1.81652172e-04  2.372067e+00  3.507581e+00  1.128792e+00  8.986677e+00  1.686889e+01  1.037896e+01  1.469690e+01  1.576368e+01  
0.0360 15.085 1.982  1.87598769e-04  2.432183e+00  3.590878e+00  1.161012e+00  9.147966e+00  1.703423e+01  1.049746e+01  1.486471e+01  1.592832e+01  
0.0365 15.074 1.981  1.91668091e-04  2.492733e+00  3.674481e+00  1.193660e+00  9.307189e+00  1.719014e+01  1.061093e+01  1.502539e+01  1.608469e+01  
0.0370 15.063 1.981  1.96490002e-04  2.553701e+00  3.758360e+00  1.226732e+00  9.464256e+00  1.733655e+01  1.071935e+01  1.517893e+01  1.623280e+01  
0.0375 15.052 1.980  2.01743372e-04  2.615070e+00  3.842485e+00  1.260225e+00  9.619051e+00  1.747333e+01  1.082260e+01  1.532514e+01  1.637242e+01  
0.0380 15.040 1.979  2.06646323e-04  2.676824e+00  3.926824e+00  1.294136e+00  9.771480e+00  1.760044e+01  1.092065e+01  1.546399e+01  1.650358e+01  
0.0385 15.029 1.978  2.11828378e-04  2.738945e+00  4.011347e+00  1.328460e+00  9.921438e+00  1.771780e+01  1.101342e+01  1.559536e+01  1.662613e+01  
0.0390 15.017 1.977  2.16209154e-04  2.801414e+00  4.096021e+00  1.363193e+00  1.006883e+01  1.782538e+01  1.110090e+01  1.571925e+01  1.674011e+01  
0.0395 15.006 1.977  2.21916994e-04  2.864218e+00  4.180819e+00  1.398331e+00  1.021357e+01  1.792315e+01  1.118304e+01  1.583557e+01  1.684542e+01  
0.0400 14.994 1.976  2.25966267e-04  2.927334e+00  4.265703e+00  1.433870e+00  1.035555e+01  1.801110e+01  1.125983e+01  1.594432e+01  1.694209e+01  
0.0405 14.982 1.975  2.32226697e-04  2.990749e+00  4.350653e+00  1.469804e+00  1.049473e+01  1.808927e+01  1.133134e+01  1.604559e+01  1.703027e+01  
0.0410 14.970 1.974  2.37288023e-04  3.054445e+00  4.435631e+00  1.506131e+00  1.063099e+01  1.815759e+01  1.139738e+01  1.613912e+01  1.710967e+01  
0.0415 14.958 1.973  2.41592180e-04  3.118401e+00  4.520605e+00  1.542844e+00  1.076425e+01  1.821616e+01  1.145807e+01  1.622507e+01  1.718048e+01  
0.0420 14.946 1.972  2.48092707e-04  3.182604e+00  4.605551e+00  1.579939e+00  1.089444e+01  1.826496e+01  1.151333e+01  1.630333e+01  1.724260e+01  
0.0425 14.933 1.972  2.52095632e-04  3.247028e+00  4.690425e+00  1.617409e+00  1.102146e+01  1.830406e+01  1.156315e+01  1.637390e+01  1.729606e+01  
0.0430 14.921 1.971  2.57700799e-04  3.311659e+00  4.775205e+00  1.655249e+00  1.114530e+01  1.833358e+01  1.160773e+01  1.643703e+01  1.734121e+01  
0.0435 14.908 1.970  2.63212492e-04  3.376478e+00  4.859858e+00  1.693453e+00  1.126586e+01  1.835357e+01  1.164698e+01  1.649263e+01  1.737794e+01  
0.0440 14.896 1.969  2.68857899e-04  3.441467e+00  4.944354e+00  1.732015e+00  1.138305e+01  1.836406e+01  1.168084e+01  1.654060e+01  1.740614e+01  
0.0445 14.883 1.968  2.73882359e-04  3.506607e+00  5.028662e+00  1.770930e+00  1.149686e+01  1.836523e+01  1.170947e+01  1.658115e+01  1.742610e+01  
0.0450 14.870 1.967  2.79993117e-04  3.571880e+00  5.112753e+00  1.810192e+00  1.160719e+01  1.835713e+01  1.173279e+01  1.661419e+01  1.743773e+01  
0.0455 14.857 1.966  2.84631549e-04  3.637266e+00  5.196593e+00  1.849793e+00  1.171401e+01  1.833994e+01  1.175096e+01  1.663994e+01  1.744130e+01  
0.0460 14.844 1.965  2.90143090e-04  3.702747e+00  5.280157e+00  1.889728e+00  1.181729e+01  1.831378e+01  1.176399e+01  1.665841e+01  1.743687e+01  
0.0465 14.831 1.964  2.97785143e-04  3.768311e+00  5.363420e+00  1.929993e+00  1.191691e+01  1.827864e+01  1.177168e+01  1.666932e+01  1.742409e+01  
0.0470 14.817 1.963  3.00195137e-04  3.833926e+00  5.446336e+00  1.970575e+00  1.201290e+01  1.823490e+01  1.177444e+01  1.667325e+01  1.740370e+01  
0.0475 14.804 1.962  3.06446406e-04  3.899581e+00  5.528888e+00  2.011471e+00  1.210520e+01  1.818267e+01  1.177227e+01  1.667019e+01  1.737572e+01  
0.0480 14.791 1.961  3.14556649e-04  3.965263e+00  5.611052e+00  2.052675e+00  1.219376e+01  1.812195e+01  1.176501e+01  1.665993e+01  1.733988e+01  
0.0485 14.777 1.961  3.16635795e-04  4.030940e+00  5.692786e+00  2.094175e+00  1.227859e+01  1.805320e+01  1.175312e+01  1.664313e+01  1.729701e+01  
0.0490 14.763 1.960  3.24964839e-04  4.096604e+00  5.774077e+00  2.135967e+00  1.235964e+01  1.797640e+01  1.173645e+01  1.661954e+01  1.724682e+01  
0.0495 14.749 1.959  3.29051169e-04  4.162232e+00  5.854884e+00  2.178042e+00  1.243689e+01  1.789183e+01  1.171510e+01  1.658934e+01  1.718953e+01  
0.0500 14.735 1.958  3.35213933e-04  4.227806e+00  5.935187e+00  2.220394e+00  1.251030e+01  1.779965e+01  1.168914e+01  1.655260e+01  1.712527e+01  
0.0505 14.721 1.957  3.41904956e-04  4.293310e+00  6.014957e+00  2.263015e+00  1.257986e+01  1.770002e+01  1.165859e+01  1.650937e+01  1.705408e+01  
0.0510 14.707 1.956  3.46884507e-04  4.358721e+00  6.094165e+00  2.305896e+00  1.264555e+01  1.759322e+01  1.162362e+01  1.645988e+01  1.697627e+01  
0.0515 14.693 1.955  3.50987005e-04  4.424020e+00  6.172783e+00  2.349028e+00  1.270738e+01  1.747951e+01  1.158440e+01  1.640437e+01  1.689213e+01  
0.0520 14.679 1.954  3.58343624e-04  4.489194e+00  6.250793e+00  2.392404e+00  1.276536e+01  1.735905e+01  1.154102e+01  1.634297e+01  1.680185e+01  
0.0525 14.664 1.953  3.65686790e-04  4.554225e+00  6.328166e+00  2.436017e+00  1.281943e+01  1.723198e+01  1.149337e+01  1.627553e+01  1.670522e+01  
0.0530 14.650 1.952  3.68828456e-04  4.619087e+00  6.404871e+00  2.479854e+00  1.286965e+01  1.709871e+01  1.144184e+01  1.620259e+01  1.660294e+01  
0.0535 14.635 1.951  3.76805697e-04  4.683771e+00  6.480894e+00  2.523913e+00  1.291598e+01  1.695930e+01  1.138633e+01  1.612403e+01  1.649484e+01  
0.0540 14.620 1.949  3.81179064e-04  4.748251e+00  6.556198e+00  2.568180e+00  1.295842e+01  1.681408e+01  1.132696e+01  1.603998e+01  1.638112e+01  
0.0545 14.606 1.948  3.88767724e-04  4.812515e+00  6.630765e+00  2.612650e+00  1.299699e+01  1.666320e+01  1.126381e+01  1.595059e+01  1.626195e+01  
0.0550 14.591 1.947  3.93062093e-04  4.876535e+00  6.704561e+00  2.657308e+00  1.303168e+01  1.650695e+01  1.119712e+01  1.585620e+01  1.613774e+01  
0.0555 14.576 1.946  4.00436073e-04  4.940301e+00  6.777573e+00  2.702148e+00  1.306254e+01  1.634557e+01  1.112699e+01  1.575692e+01  1.600865e+01  
0.0560 14.561 1.945  4.02725589e-04  5.003793e+00  6.849777e+00  2.747160e+00  1.308962e+01  1.617945e+01  1.105358e+01  1.565302e+01  1.587496e+01  
0.0565 14.546 1.944  4.11687398e-04  5.067002e+00  6.921162e+00  2.792340e+00  1.311291e+01  1.600865e+01  1.097689e+01  1.554446e+01  1.573666e+01  
0.0570 14.530 1.943  4.16437628e-04  5.129904e+00  6.991694e+00  2.837674e+00  1.313242e+01  1.583347e+01  1.089703e+01  1.543141e+01  1.559396e+01  
0.0575 14.515 1.942  4.24640491e-04  5.192488e+00  7.061360e+00  2.883158e+00  1.314816e+01  1.565405e+01  1.081407e+01  1.531398e+01  1.544698e+01  
0.0580 14.500 1.941  4.28509348e-04  5.254727e+00  7.130128e+00  2.928776e+00  1.316018e+01  1.547076e+01  1.072824e+01  1.519248e+01  1.529609e+01  
0.0585 14.484 1.940  4.34659402e-04  5.316608e+00  7.197983e+00  2.974520e+00  1.316852e+01  1.528382e+01  1.063964e+01  1.506706e+01  1.514148e+01  
0.0590 14.469 1.939  4.41470366e-04  5.378117e+00  7.264908e+00  3.020382e+00  1.317320e+01  1.509341e+01  1.054838e+01  1.493788e+01  1.498334e+01  
0.0595 14.453 1.938  4.47171986e-04  5.439235e+00  7.330880e+00  3.066351e+00  1.317427e+01  1.489980e+01  1.045456e+01  1.480508e+01  1.482183e+01  
